,Sequence_name,Prediction,probability
4736,|1|Training,Non-autophagy protein,96.02%
4737,|1|Training,Non-autophagy protein,96.01%
4738,|1|Training,Non-autophagy protein,94.58%
4739,|1|Training,Non-autophagy protein,97.90%
4740,|1|Training,Non-autophagy protein,87.63%
4741,|1|Training,Non-autophagy protein,95.96%
4742,|1|Training,Non-autophagy protein,99.46%
4743,|1|Training,Autophagy Protein,99.10%
4744,|1|Training,Non-autophagy protein,96.35%
4745,|1|Training,Non-autophagy protein,99.47%
4746,|1|Training,Non-autophagy protein,73.78%
4747,|1|Training,Non-autophagy protein,99.52%
4748,|1|Training,Non-autophagy protein,99.09%
4749,|1|Training,Non-autophagy protein,97.07%
4750,|1|Training,Non-autophagy protein,96.91%
4751,|1|Training,Non-autophagy protein,98.31%
4752,|1|Training,Non-autophagy protein,99.33%
4753,|1|Training,Non-autophagy protein,92.47%
4754,|1|Training,Non-autophagy protein,98.65%
4755,|1|Training,Non-autophagy protein,97.93%
4756,|1|Training,Non-autophagy protein,77.65%
4757,|1|Training,Non-autophagy protein,90.76%
4758,|1|Training,Non-autophagy protein,99.54%
4759,|1|Training,Non-autophagy protein,93.77%
4760,|1|Training,Non-autophagy protein,89.03%
4761,|1|Training,Non-autophagy protein,92.64%
4762,|1|Training,Non-autophagy protein,97.58%
4763,|1|Training,Non-autophagy protein,98.64%
4764,|1|Training,Non-autophagy protein,90.64%
4765,|1|Training,Non-autophagy protein,97.81%
4766,|1|Training,Non-autophagy protein,96.31%
4767,|1|Training,Non-autophagy protein,61.50%
4768,|1|Training,Autophagy Protein,65.45%
4769,|1|Training,Non-autophagy protein,97.21%
4770,|1|Training,Autophagy Protein,94.28%
4771,|1|Training,Non-autophagy protein,93.59%
4772,|1|Training,Non-autophagy protein,86.14%
4773,|1|Training,Non-autophagy protein,99.44%
4774,|1|Training,Non-autophagy protein,70.72%
4775,|1|Training,Non-autophagy protein,97.97%
4776,|1|Training,Autophagy Protein,63.29%
4777,|1|Training,Non-autophagy protein,98.22%
4778,|1|Training,Non-autophagy protein,96.52%
4779,|1|Training,Non-autophagy protein,93.62%
4780,|1|Training,Autophagy Protein,74.27%
4781,|1|Training,Non-autophagy protein,96.96%
4782,|1|Training,Non-autophagy protein,98.67%
4783,|1|Training,Autophagy Protein,92.52%
4784,|1|Training,Non-autophagy protein,99.56%
4785,|1|Training,Non-autophagy protein,94.74%
4786,|1|Training,Non-autophagy protein,86.29%
4787,|1|Training,Non-autophagy protein,78.54%
4788,|1|Training,Non-autophagy protein,92.18%
4789,|1|Training,Non-autophagy protein,71.93%
4790,|1|Training,Non-autophagy protein,90.93%
4791,|1|Training,Non-autophagy protein,98.56%
4792,|1|Training,Non-autophagy protein,96.09%
4793,|1|Training,Non-autophagy protein,94.78%
4794,|1|Training,Non-autophagy protein,99.42%
4795,|1|Training,Non-autophagy protein,98.64%
4796,|1|Training,Autophagy Protein,91.19%
4797,|1|Training,Autophagy Protein,57.37%
4798,|1|Training,Non-autophagy protein,98.93%
4799,|1|Training,Non-autophagy protein,99.04%
4800,|1|Training,Non-autophagy protein,99.53%
4801,|1|Training,Non-autophagy protein,97.26%
4802,|1|Training,Non-autophagy protein,95.70%
4803,|1|Training,Non-autophagy protein,98.82%
4804,|1|Training,Non-autophagy protein,61.09%
4805,|1|Training,Non-autophagy protein,89.96%
4806,|1|Training,Non-autophagy protein,98.42%
4807,|1|Training,Non-autophagy protein,83.08%
4808,|1|Training,Non-autophagy protein,80.66%
4809,|1|Training,Non-autophagy protein,91.90%
4810,|1|Training,Non-autophagy protein,98.76%
4811,|1|Training,Non-autophagy protein,99.43%
4812,|1|Training,Non-autophagy protein,88.00%
4813,|1|Training,Non-autophagy protein,98.68%
4814,|1|Training,Non-autophagy protein,98.73%
4815,|1|Training,Non-autophagy protein,95.28%
4816,|1|Training,Non-autophagy protein,84.84%
4817,|1|Training,Non-autophagy protein,97.41%
4818,|1|Training,Non-autophagy protein,98.46%
4819,|1|Training,Non-autophagy protein,83.55%
4820,|1|Training,Autophagy Protein,95.57%
4821,|1|Training,Autophagy Protein,54.94%
4822,|1|Training,Non-autophagy protein,76.29%
4823,|1|Training,Non-autophagy protein,94.07%
4824,|1|Training,Autophagy Protein,82.10%
4825,|1|Training,Non-autophagy protein,95.01%
4826,|1|Training,Non-autophagy protein,81.63%
4827,|1|Training,Non-autophagy protein,65.62%
4828,|1|Training,Non-autophagy protein,81.26%
4829,|1|Training,Non-autophagy protein,80.12%
4830,|1|Training,Non-autophagy protein,95.46%
4831,|1|Training,Non-autophagy protein,63.33%
4832,|1|Training,Non-autophagy protein,99.02%
4833,|1|Training,Non-autophagy protein,88.29%
4834,|1|Training,Non-autophagy protein,98.98%
4835,|1|Training,Autophagy Protein,98.39%
4836,|1|Training,Non-autophagy protein,99.69%
4837,|1|Training,Non-autophagy protein,91.65%
4838,|1|Training,Non-autophagy protein,96.96%
4839,|1|Training,Non-autophagy protein,99.71%
4840,|1|Training,Non-autophagy protein,93.21%
4841,|1|Training,Non-autophagy protein,94.92%
4842,|1|Training,Non-autophagy protein,99.44%
4843,|1|Training,Autophagy Protein,88.56%
4844,|1|Training,Autophagy Protein,92.44%
4845,|1|Training,Non-autophagy protein,75.67%
4846,|1|Training,Non-autophagy protein,96.83%
4847,|1|Training,Non-autophagy protein,98.67%
4848,|1|Training,Autophagy Protein,86.03%
4849,|1|Training,Non-autophagy protein,99.75%
4850,|1|Training,Non-autophagy protein,96.81%
4851,|1|Training,Non-autophagy protein,97.27%
4852,|1|Training,Non-autophagy protein,94.61%
4853,|1|Training,Non-autophagy protein,85.96%
4854,|1|Training,Non-autophagy protein,89.33%
4855,|1|Training,Non-autophagy protein,93.05%
4856,|1|Training,Non-autophagy protein,99.26%
4857,|1|Training,Non-autophagy protein,91.35%
4858,|1|Training,Non-autophagy protein,90.78%
4859,|1|Training,Non-autophagy protein,98.52%
4860,|1|Training,Non-autophagy protein,91.76%
4861,|1|Training,Non-autophagy protein,95.51%
4862,|1|Training,Non-autophagy protein,75.26%
4863,|1|Training,Non-autophagy protein,70.50%
4864,|1|Training,Non-autophagy protein,97.81%
4865,|1|Training,Non-autophagy protein,98.65%
4866,|1|Training,Non-autophagy protein,83.25%
4867,|1|Training,Non-autophagy protein,96.40%
4868,|1|Training,Autophagy Protein,59.17%
4869,|1|Training,Non-autophagy protein,99.76%
4870,|1|Training,Non-autophagy protein,95.85%
4871,|1|Training,Non-autophagy protein,99.88%
4872,|1|Training,Non-autophagy protein,99.69%
4873,|1|Training,Non-autophagy protein,52.81%
4874,|1|Training,Non-autophagy protein,89.47%
4875,|1|Training,Non-autophagy protein,92.64%
4876,|1|Training,Non-autophagy protein,97.11%
4877,|1|Training,Non-autophagy protein,97.79%
4878,|1|Training,Non-autophagy protein,84.24%
4879,|1|Training,Non-autophagy protein,69.96%
4880,|1|Training,Autophagy Protein,73.85%
4881,|1|Training,Non-autophagy protein,86.54%
4882,|1|Training,Autophagy Protein,76.63%
4883,|1|Training,Autophagy Protein,55.12%
4884,|1|Training,Autophagy Protein,68.01%
4885,|1|Training,Autophagy Protein,64.50%
4886,|1|Training,Non-autophagy protein,98.38%
4887,|1|Training,Non-autophagy protein,90.70%
4888,|1|Training,Non-autophagy protein,93.53%
4889,|1|Training,Autophagy Protein,91.60%
4890,|1|Training,Non-autophagy protein,88.29%
4891,|1|Training,Non-autophagy protein,99.61%
4892,|1|Training,Non-autophagy protein,93.93%
4893,|1|Training,Non-autophagy protein,93.24%
4894,|1|Training,Non-autophagy protein,94.24%
4895,|1|Training,Autophagy Protein,62.68%
4896,|1|Training,Non-autophagy protein,85.72%
4897,|1|Training,Autophagy Protein,64.25%
4898,|1|Training,Non-autophagy protein,98.34%
4899,|1|Training,Autophagy Protein,94.62%
4900,|1|Training,Non-autophagy protein,99.77%
4901,|1|Training,Non-autophagy protein,96.64%
4902,|1|Training,Non-autophagy protein,96.81%
4903,|1|Training,Non-autophagy protein,98.19%
4904,|1|Training,Non-autophagy protein,94.93%
4905,|1|Training,Non-autophagy protein,75.22%
4906,|1|Training,Non-autophagy protein,63.90%
4907,|1|Training,Non-autophagy protein,92.07%
4908,|1|Training,Non-autophagy protein,93.84%
4909,|1|Training,Non-autophagy protein,94.29%
4910,|1|Training,Non-autophagy protein,91.42%
4911,|1|Training,Non-autophagy protein,99.70%
4912,|1|Training,Non-autophagy protein,96.62%
4913,|1|Training,Non-autophagy protein,98.17%
4914,|1|Training,Non-autophagy protein,99.54%
4915,|1|Training,Non-autophagy protein,52.58%
4916,|1|Training,Non-autophagy protein,88.79%
4917,|1|Training,Non-autophagy protein,91.86%
4918,|1|Training,Autophagy Protein,54.70%
4919,|1|Training,Non-autophagy protein,93.11%
4920,|1|Training,Non-autophagy protein,99.72%
4921,|1|Training,Non-autophagy protein,95.59%
4922,|1|Training,Non-autophagy protein,98.94%
4923,|1|Training,Autophagy Protein,68.21%
4924,|1|Training,Non-autophagy protein,95.86%
4925,|1|Training,Non-autophagy protein,98.50%
4926,|1|Training,Non-autophagy protein,90.68%
4927,|1|Training,Non-autophagy protein,80.73%
4928,|1|Training,Non-autophagy protein,95.21%
4929,|1|Training,Non-autophagy protein,85.27%
4930,|1|Training,Non-autophagy protein,99.32%
4931,|1|Training,Non-autophagy protein,94.75%
4932,|1|Training,Non-autophagy protein,98.84%
4933,|1|Training,Non-autophagy protein,98.19%
4934,|1|Training,Non-autophagy protein,98.77%
4935,|1|Training,Non-autophagy protein,87.93%
4936,|1|Training,Non-autophagy protein,61.73%
4937,|1|Training,Non-autophagy protein,98.19%
4938,|1|Training,Non-autophagy protein,85.08%
4939,|1|Training,Non-autophagy protein,86.00%
4940,|1|Training,Non-autophagy protein,89.70%
4941,|1|Training,Non-autophagy protein,99.43%
4942,|1|Training,Non-autophagy protein,77.68%
4943,|1|Training,Non-autophagy protein,56.48%
4944,|1|Training,Non-autophagy protein,72.63%
4945,|1|Training,Non-autophagy protein,55.98%
4946,|1|Training,Non-autophagy protein,97.26%
4947,|1|Training,Non-autophagy protein,96.11%
4948,|1|Training,Non-autophagy protein,92.06%
4949,|1|Training,Non-autophagy protein,92.78%
4950,|1|Training,Autophagy Protein,65.13%
4951,|1|Training,Non-autophagy protein,77.72%
4952,|1|Training,Non-autophagy protein,92.99%
4953,|1|Training,Non-autophagy protein,69.90%
4954,|1|Training,Non-autophagy protein,94.61%
4955,|1|Training,Non-autophagy protein,99.27%
4956,|1|Training,Non-autophagy protein,75.32%
4957,|1|Training,Non-autophagy protein,87.17%
4958,|1|Training,Non-autophagy protein,80.11%
4959,|1|Training,Non-autophagy protein,86.85%
4960,|1|Training,Non-autophagy protein,89.28%
4961,|1|Training,Non-autophagy protein,97.48%
4962,|1|Training,Autophagy Protein,62.63%
4963,|1|Training,Non-autophagy protein,76.21%
4964,|1|Training,Autophagy Protein,62.15%
4965,|1|Training,Non-autophagy protein,99.17%
4966,|1|Training,Non-autophagy protein,95.44%
4967,|1|Training,Non-autophagy protein,99.92%
4968,|1|Training,Non-autophagy protein,95.83%
4969,|1|Training,Non-autophagy protein,89.46%
4970,|1|Training,Non-autophagy protein,90.81%
4971,|1|Training,Non-autophagy protein,96.83%
4972,|1|Training,Non-autophagy protein,97.62%
4973,|1|Training,Autophagy Protein,87.99%
4974,|1|Training,Non-autophagy protein,97.30%
4975,|1|Training,Non-autophagy protein,98.42%
4976,|1|Training,Non-autophagy protein,98.70%
4977,|1|Training,Non-autophagy protein,50.62%
4978,|1|Training,Non-autophagy protein,76.78%
4979,|1|Training,Non-autophagy protein,87.81%
4980,|1|Training,Non-autophagy protein,94.80%
4981,|1|Training,Autophagy Protein,86.54%
4982,|1|Training,Non-autophagy protein,58.33%
4983,|1|Training,Non-autophagy protein,94.97%
4984,|1|Training,Non-autophagy protein,69.47%
4985,|1|Training,Non-autophagy protein,97.94%
4986,|1|Training,Non-autophagy protein,94.70%
4987,|1|Training,Non-autophagy protein,90.45%
4988,|1|Training,Non-autophagy protein,98.06%
4989,|1|Training,Non-autophagy protein,99.15%
4990,|1|Training,Non-autophagy protein,67.80%
4991,|1|Training,Non-autophagy protein,99.74%
4992,|1|Training,Non-autophagy protein,93.43%
4993,|1|Training,Non-autophagy protein,57.26%
4994,|1|Training,Non-autophagy protein,70.73%
4995,|1|Training,Non-autophagy protein,54.77%
4996,|1|Training,Non-autophagy protein,80.20%
4997,|1|Training,Non-autophagy protein,91.54%
4998,|1|Training,Non-autophagy protein,66.46%
4999,|1|Training,Non-autophagy protein,50.00%
5000,|1|Training,Autophagy Protein,96.16%
5001,|1|Training,Non-autophagy protein,98.99%
5002,|1|Training,Non-autophagy protein,89.91%
5003,|1|Training,Non-autophagy protein,98.76%
5004,|1|Training,Autophagy Protein,52.91%
5005,|1|Training,Non-autophagy protein,99.49%
5006,|1|Training,Autophagy Protein,99.44%
5007,|1|Training,Autophagy Protein,96.75%
5008,|1|Training,Non-autophagy protein,98.53%
5009,|1|Training,Non-autophagy protein,98.18%
5010,|1|Training,Non-autophagy protein,98.67%
5011,|1|Training,Non-autophagy protein,98.17%
5012,|1|Training,Non-autophagy protein,99.53%
5013,|1|Training,Non-autophagy protein,95.49%
5014,|1|Training,Non-autophagy protein,81.55%
5015,|1|Training,Non-autophagy protein,86.22%
5016,|1|Training,Autophagy Protein,58.36%
5017,|1|Training,Non-autophagy protein,99.42%
5018,|1|Training,Non-autophagy protein,62.83%
5019,|1|Training,Non-autophagy protein,98.92%
5020,|1|Training,Non-autophagy protein,99.32%
5021,|1|Training,Non-autophagy protein,97.97%
5022,|1|Training,Autophagy Protein,60.00%
5023,|1|Training,Non-autophagy protein,99.86%
5024,|1|Training,Non-autophagy protein,90.15%
5025,|1|Training,Non-autophagy protein,99.79%
5026,|1|Training,Non-autophagy protein,70.78%
5027,|1|Training,Non-autophagy protein,86.51%
5028,|1|Training,Non-autophagy protein,97.33%
5029,|1|Training,Non-autophagy protein,72.82%
5030,|1|Training,Non-autophagy protein,90.75%
5031,|1|Training,Non-autophagy protein,56.40%
5032,|1|Training,Non-autophagy protein,93.93%
5033,|1|Training,Non-autophagy protein,69.59%
5034,|1|Training,Autophagy Protein,91.86%
5035,|1|Training,Non-autophagy protein,88.94%
5036,|1|Training,Autophagy Protein,53.12%
5037,|1|Training,Non-autophagy protein,70.68%
5038,|1|Training,Non-autophagy protein,99.87%
5039,|1|Training,Non-autophagy protein,72.74%
5040,|1|Training,Non-autophagy protein,99.19%
5041,|1|Training,Non-autophagy protein,61.23%
5042,|1|Training,Non-autophagy protein,99.64%
5043,|1|Training,Non-autophagy protein,83.12%
5044,|1|Training,Non-autophagy protein,98.04%
5045,|1|Training,Autophagy Protein,54.55%
5046,|1|Training,Non-autophagy protein,99.11%
5047,|1|Training,Non-autophagy protein,98.25%
5048,|1|Training,Non-autophagy protein,71.09%
5049,|1|Training,Non-autophagy protein,97.81%
5050,|1|Training,Non-autophagy protein,99.33%
5051,|1|Training,Non-autophagy protein,99.02%
5052,|1|Training,Autophagy Protein,83.83%
5053,|1|Training,Autophagy Protein,61.35%
5054,|1|Training,Autophagy Protein,94.35%
5055,|1|Training,Non-autophagy protein,86.01%
5056,|1|Training,Non-autophagy protein,86.29%
5057,|1|Training,Non-autophagy protein,98.70%
5058,|1|Training,Non-autophagy protein,99.79%
5059,|1|Training,Non-autophagy protein,99.65%
5060,|1|Training,Autophagy Protein,60.07%
5061,|1|Training,Non-autophagy protein,98.31%
5062,|1|Training,Non-autophagy protein,98.47%
5063,|1|Training,Non-autophagy protein,98.50%
5064,|1|Training,Autophagy Protein,96.57%
5065,|1|Training,Non-autophagy protein,99.40%
5066,|1|Training,Non-autophagy protein,98.49%
5067,|1|Training,Non-autophagy protein,98.41%
5068,|1|Training,Non-autophagy protein,99.46%
5069,|1|Training,Non-autophagy protein,87.81%
5070,|1|Training,Non-autophagy protein,95.92%
5071,|1|Training,Non-autophagy protein,97.36%
5072,|1|Training,Autophagy Protein,77.01%
5073,|1|Training,Non-autophagy protein,97.13%
5074,|1|Training,Autophagy Protein,69.45%
5075,|1|Training,Non-autophagy protein,71.67%
5076,|1|Training,Non-autophagy protein,99.32%
5077,|1|Training,Non-autophagy protein,69.86%
5078,|1|Training,Autophagy Protein,94.27%
5079,|1|Training,Non-autophagy protein,68.93%
5080,|1|Training,Non-autophagy protein,94.83%
5081,|1|Training,Autophagy Protein,98.35%
5082,|1|Training,Non-autophagy protein,80.72%
5083,|1|Training,Non-autophagy protein,48.35%
5084,|1|Training,Non-autophagy protein,99.78%
5085,|1|Training,Non-autophagy protein,92.93%
5086,|1|Training,Non-autophagy protein,98.60%
5087,|1|Training,Autophagy Protein,56.74%
5088,|1|Training,Non-autophagy protein,96.04%
5089,|1|Training,Non-autophagy protein,97.44%
5090,|1|Training,Non-autophagy protein,97.17%
5091,|1|Training,Non-autophagy protein,90.69%
5092,|1|Training,Non-autophagy protein,98.95%
5093,|1|Training,Autophagy Protein,83.73%
5094,|1|Training,Non-autophagy protein,89.41%
5095,|1|Training,Non-autophagy protein,98.59%
5096,|1|Training,Non-autophagy protein,67.81%
5097,|1|Training,Non-autophagy protein,87.50%
5098,|1|Training,Non-autophagy protein,98.99%
5099,|1|Training,Non-autophagy protein,99.52%
5100,|1|Training,Non-autophagy protein,93.60%
5101,|1|Training,Non-autophagy protein,69.04%
5102,|1|Training,Non-autophagy protein,83.02%
5103,|1|Training,Non-autophagy protein,99.46%
5104,|1|Training,Non-autophagy protein,97.91%
5105,|1|Training,Non-autophagy protein,96.86%
5106,|1|Training,Non-autophagy protein,96.54%
5107,|1|Training,Non-autophagy protein,93.84%
5108,|1|Training,Non-autophagy protein,98.05%
5109,|1|Training,Non-autophagy protein,98.58%
5110,|1|Training,Non-autophagy protein,98.06%
5111,|1|Training,Non-autophagy protein,98.73%
5112,|1|Training,Non-autophagy protein,98.31%
5113,|1|Training,Non-autophagy protein,95.03%
5114,|1|Training,Non-autophagy protein,70.76%
5115,|1|Training,Autophagy Protein,64.78%
5116,|1|Training,Non-autophagy protein,99.75%
5117,|1|Training,Non-autophagy protein,85.64%
5118,|1|Training,Non-autophagy protein,92.92%
5119,|1|Training,Non-autophagy protein,99.20%
